user_id,track_id,play_count
1,3DNRdudZ2SstnDCVKFdXxG,30
1,1uGy4uNI3SeVUien40Dtzo,20
1,5byXSKd7QOHtVMOiptklBD,45
1,5I9sHwLDX28tLtzVgKLtpr,30
1,1qCQTy0fTXerET4x8VHyr9,35
1,3898C4AbdbptwYet6547e5,40
1,1oMUYmXy85ZOQGZ2fylBiN,30
1,5xYpEeGFXmkGMBQ22NfKfO,25
1,4KlL5Bwlm4yHYxr0B2rHci,20
1,6jGnykaS6TkWp15utXSAeI,30
1,2xhGZ3WzOa3tir28y7Cb88,20
1,4Hhv2vrOTy89HFRcjU3QOx,25
1,3p4hRhMcb6ch8OLtATMaLw,40
1,7uHRKSQ9WIlBBuBY7BHcbq,25
1,6D6HVKe7Qu3imn4zzJD0W9,20
1,2p5THyuNwpJ9c7ex3TN383,25
1,6v5vr3SqSczkqIIVeW8RjZ,45
1,30QD4VRP9yEneOh0eGTrtJ,25
1,4U6mBgGP8FXN6UH4T3AJhu,30
1,6uZF7xC32ewhpsm36IaM5T,15
1,71qKWIBggc7poNXclWN53M,25
1,0u4rkpmNtgcFxYHepnVF4v,25
1,5RgFlk1fcClZd0Y4SGYhqH,20
1,2p5THyuNwpJ9c7ex3TN383,30
1,4zNthpVS7M6XYxG6FLqskQ,5
1,5eiD8KqhdRr2mI9oVq6yex,16
1,2smlnh2fkWnQktREMcW6hh,11
1,26hNT9FWdrq1BIlPOiPsKi,9
1,03QSxMkgvEpKwmZTp9Fe2e,12
1,0MYj1nOG7eopN3sVrGXEmU,8
1,357tJIrwP4qdIoIPG2sp6h,19
1,0BhCK7Z9fg4cqu0q0gNtjT,16
1,4uUG5RXrOk84mYEfFvj3cK,4
1,4C6Uex2ILwJi9sZXRdmqXp,9
1,6V1kUUefPBkpyPqBSK9G9C,3
2,3YRj4jmwois2ctPnhwSwFo,35
2,5DezuV0RFcMcgA11UGdGBR,15
2,2NYPx7YjNrHteC2RxzTzTZ,35
2,3NsuucK8qXpIJf7KPZX7vq,20
2,2bRKxuH1o7pTmb1y4GfdEc,35
2,19gCnDoMbugHhF7eMpLpe1,25
2,5I9sHwLDX28tLtzVgKLtpr,20
2,2HwCcCi8Up9NECNBRt0yTV,30
2,1qCQTy0fTXerET4x8VHyr9,15
2,71qKWIBggc7poNXclWN53M,20
2,4xhWfr0tyA7BGL7eXo8KnV,25
2,7zrpoAJte9o12TzawqgdD0,50
2,4KlL5Bwlm4yHYxr0B2rHci,35
2,1oMUYmXy85ZOQGZ2fylBiN,25
2,5JDcQAztvZTIkrWoZihgvC,25
2,5TvE3pk05pyFIGdSY9j4DJ,25
2,0CwLue2qwkPcQpovNGNtVx,35
2,2DIFiLjzVxSUc7YY2k7WDA,35
2,58wyJLv6yH1La9NIZPl3ne,30
2,2m2GJpBjQNNphaCgBeoj7R,25
2,0CwLue2qwkPcQpovNGNtVx,25
2,48UNHWGzRfk4AOKrCJM7XJ,30
2,2agBDIr9MYDUducQPC1sFU,35
2,5TvE3pk05pyFIGdSY9j4DJ,25
2,21WSiy0713R1Onrm8BGSvZ,8
2,2xRdvPX2IrKELYj9WvshTp,18
2,6GdYfkG1UpFLinXttOtP2v,18
2,4piK3GzwbnBh684LRIdzVe,7
2,4B57Z082idrfenHCUHP4LV,14
2,52bop7hdnDIGHFW4p5EfE5,14
2,5w1FbQ4wRjRkzw9IXv30GW,17
2,2E1sUwtH4AANynciTbL36h,6
2,1mGkSBPN3SN2o2YTVbmr3C,19
2,6ovbhJchg5kGdayDjhUV60,6
2,7MdZQXUBijQxcBkYz4G1Z5,8
2,02MWAaffLxlfxAUY7c5dvx,9
2,1DIXPcTDzTj8ZMHt3PDt8p,3
2,75FEaRjZTKLhTrFGsfMUXR,4
2,34hfQtwYPoVCmJRp9jVNMG,1
3,6Rqn2GFlmvmV4w9Ala0I1e,45
3,6Vc5wAMmXdKIAM7WUoEb7N,30
3,2m2GJpBjQNNphaCgBeoj7R,45
3,01Rc6yXYtujAnMaR1NME11,15
3,20GlDz2SYsXF8pzdxguxfe,20
3,55rn9bs7vZBsEK4Y4URraH,35
3,3YRj4jmwois2ctPnhwSwFo,20
3,4LEt6hyaGn4scwUsimBeXt,35
3,2XPxkVgxyj4QVaW78kS5vb,20
3,0CMYUXTTTmI6Lwc0opH2XG,35
3,3NsuucK8qXpIJf7KPZX7vq,40
3,5ivF4eQBqJiVL5IAE9jRyl,40
3,3RbNcjVnQixKa1sULcwd2K,20
3,5PzWVmfzu7rePAuFkxPQf0,35
3,508QhA2SncMbh5CnuxkvUc,40
3,0CwLue2qwkPcQpovNGNtVx,25
3,5DezuV0RFcMcgA11UGdGBR,30
3,508QhA2SncMbh5CnuxkvUc,50
3,0Dkibk70FDp6t7eOZNemNQ,50
3,5NGtFXVpXSvwunEIGeviY3,20
3,5u5aVJKjSMJr4zesMPz7bL,25
3,4QxDOjgpYtQDxxbWPuEJOy,40
3,2HwCcCi8Up9NECNBRt0yTV,40
3,7wkgkIBYBH3xV2ob9Zmh87,25
3,0bndF6tTweNXPjwpPL7Slt,15
3,03MQLVWZhp4MTuM1HVnnSg,6
3,3hiSM94kP26A53TV6AT1uq,17
3,6b8hTB8Z3kGpbnfM68R76b,8
3,70w16KjhO0HQz6eqllKYJo,5
3,6Xt4HVQvuWd8yIgUNT4knk,6
3,5FuoaIgBTuWC7yLRlkM0z1,20
3,7CcqOJJOMBEDORXJzkDdjP,6
3,1WFKR1UoO2aHEYnCUWEzdI,16
3,2nLJMA693clFEHKBi9de3i,9
3,5V7mTIcXVU9k2JNu0mE6vy,18
3,27ZZdyTSQWI7Cug2d2PkqV,8
3,0hquQWY3xvYqN4qtiquniF,14
3,1DIXPcTDzTj8ZMHt3PDt8p,9
3,5kKSQULHCPFE7CKMPrkAtP,2
4,648TTtYB0bH0P8Hfy0FmkL,20
4,27XMmSWSOXJ7eVb40tH93T,20
4,4LEt6hyaGn4scwUsimBeXt,25
4,5TvE3pk05pyFIGdSY9j4DJ,35
4,6jGnykaS6TkWp15utXSAeI,30
4,0O0bttAxJKKWqAqY2Nq4mC,25
4,5JDcQAztvZTIkrWoZihgvC,30
4,2hitsKa8SthKhRJBXUHbIv,30
4,0zGLlXbHlrAyBN1x6sY0rb,25
4,0Dkibk70FDp6t7eOZNemNQ,35
4,0Dkibk70FDp6t7eOZNemNQ,15
4,38zsOOcu31XbbYj9BIPUF1,35
4,3jZDWsoxRHzzp3DYV8qeXE,20
4,5pGBDKBaR63vuJ4g8ialcU,40
